ID,LABEL,1984 Taylor Phillips 
188,2004 Michaelis ,
189,2005 Baldi et al,
190,2005 Dose,
191,2005 Faller,
192,2005 Hu,
193,2005 Kapner,
194,2005 Kasevich Patent ,
195,2005 Michaelis Erratum ,
196,2005 Speake,
197,2006 Berg,
198,2006 Bertoldi Lamporesi Cacciapuoti et al ,
199,2006 Cashen Fixler Biedermann Kasevich,
200,2006 Choi,
201,2006 CODATA,
202,2006 Ferrari et al,
203,2006 Gokhberg Kolosnitsyn Nikolaev,
204,2006 Hughes,
205,2006 Kolosnitsyn Kononogov,
206,2006 Review China,
207,2006 Schlamminger ,
208,2006 Wang ,
209,2007 Biedermann,
210,2007 Dimopoulos Graham Hogan Kasevich,
211,2007 Dose ,
212,2007 Dose reply,
213,2007 Fixler Foster Guirk Kasevich,
214,2007 Gundlach ,
215,2007 Kolosnitsyn Kononogov Melnikov,
216,2007 Lamporesi Bertoldi Cecchetti et al ,
217,2007 Ray et al,
218,2007 Vitshkin Wolf ,
219,2007 Willink Comment,
220,2008 Barrow,
221,2008 Gundlach et al Test ,
222,2008 Gundlach et al Torsion ,
223,2008 Hogan Johnson Kasevich ,
224,2008 Lamporesi et al ,
225,2008 Pollack Schlamminger Gundlach ,
226,2008 Shiomi,
227,2009 Cronin,
228,2009 Cross,
229,2009 Galli et al,
230,2009 Izmailov Karagioz Shakhparonov,
231,2009 Luo et al,
232,2009 Milyukov Tao Mironov,
233,2009 Sorrentino Angelis Bertoldi Giorgini Prevedelli Rosi Tino ,
234,2010 Bienvenu,
235,2010 Davis,
236,2010 Parks,
237,2010 Reich,
238,2010 Tu Li Wang Shai Yang Liu Liu Luo,
239,2012 Ducheyne ,
240,2012 McGuinness Rakholia Biedermann,
241,2012 Milyukov Fan,
242,2013 Faller,
243,2013 Hagedorn et al,
244,2013 Quinn ,
245,2014 Bartlett,
246,2014 CIPM2014,
247,2014 Cowen ,
248,2014 Faller,
249,2014 Gibney,
250,2014 Gillies ,
251,2014 IUPAP,
252,2014 Li et al ,
253,2014 Newman Bantel Ber Cross,
254,2014 Overduin et al,
